event_date,ticker,asset,event_type,event_window,date_precision,confidence,source,nct_id,source_url
2026-12-31,IONS,donidalorsen,READOUT,Dec 2026,month,medium,clinicaltrials,NCT05392114,https://clinicaltrials.gov/study/NCT05392114
2026-12-31,MRK,ibrutinib,READOUT,"Dec 31, 2026",day,medium,clinicaltrials,NCT01804686,https://clinicaltrials.gov/study/NCT01804686
2026-12-31,SMMT,ivonescimab,READOUT,Dec 2026,month,medium,clinicaltrials,NCT06767527,https://clinicaltrials.gov/study/NCT06767527
2026-12-31,PFE,lorlatanib,READOUT,"Dec 31, 2026",day,medium,clinicaltrials,NCT05059522,https://clinicaltrials.gov/study/NCT05059522
2026-12-31,ABBV,lutikizumab,READOUT,Dec 2026,month,medium,clinicaltrials,NCT06468228,https://clinicaltrials.gov/study/NCT06468228
2026-12-31,SNY,migalastat,READOUT,"Dec 31, 2026",day,medium,clinicaltrials,NCT04020055,https://clinicaltrials.gov/study/NCT04020055
2026-12-31,GNLX,olvimulogene nanivacirepvec,READOUT,Dec 2026,month,medium,clinicaltrials,NCT05281471,https://clinicaltrials.gov/study/NCT05281471
2026-12-31,UTHR,ralinepag,READOUT,Dec 2026,month,medium,clinicaltrials,NCT03683186,https://clinicaltrials.gov/study/NCT03683186
2026-12-31,DMAC,recombinant human tissue kallikrein,READOUT,Dec 2026,month,medium,clinicaltrials,NCT05065216,https://clinicaltrials.gov/study/NCT05065216
2026-12-31,LLY,retatrutide,READOUT,Dec 2026,month,medium,clinicaltrials,NCT06662383,https://clinicaltrials.gov/study/NCT06662383
2026-12-31,GILD,sacituzumab govitecan hziy,READOUT,Dec 2026,month,medium,clinicaltrials,NCT04639986,https://clinicaltrials.gov/study/NCT04639986
2026-12-31,PFE,talazoparib,READOUT,"Dec 31, 2026",day,medium,clinicaltrials,NCT05059522,https://clinicaltrials.gov/study/NCT05059522
2026-12-31,VOR,telitacicept,READOUT,"Dec 31, 2026",day,medium,clinicaltrials,NCT07249632,https://clinicaltrials.gov/study/NCT07249632
2026-12-31,PFE,utomilumab,READOUT,"Dec 31, 2026",day,medium,clinicaltrials,NCT05059522,https://clinicaltrials.gov/study/NCT05059522
