asset,nct_id,phase,status,primary_completion,conditions,arm_role,sponsor_raw,company_name,ticker
disitamab vedotin,NCT05980481,PHASE2;PHASE3,ACTIVE_NOT_RECRUITING,2025-07-10,Gastric Cancer,experimental,"RemeGen Co., Ltd.",,
disitamab vedotin,NCT05980481,PHASE2;PHASE3,ACTIVE_NOT_RECRUITING,2025-07-10,Gastric Cancer,experimental,"RemeGen Co., Ltd.",,
disitamab vedotin,NCT06221748,PHASE2;PHASE3,RECRUITING,2026-12,Gastric Cancer; Gastroesophageal Junction Adenocarcinoma,experimental,"RemeGen Co., Ltd.",,
disitamab vedotin,NCT07315750,PHASE3,RECRUITING,2029-06-30,Gastric Carcinoma,experimental,"RemeGen Co., Ltd.",,
donidalorsen,NCT05392114,PHASE3,ACTIVE_NOT_RECRUITING,2026-12,Hereditary Angioedema,experimental,"Ionis Pharmaceuticals, Inc.",IONIS PHARMACEUTICALS INC,IONS
donidalorsen,NCT07298447,PHASE3,RECRUITING,2029-06,Hereditary Angioedema (HAE),experimental,"Ionis Pharmaceuticals, Inc.",IONIS PHARMACEUTICALS INC,IONS
efgartigimod,NCT04833894,PHASE2;PHASE3,RECRUITING,2027-03,Generalized Myasthenia Gravis,experimental,argenx,ARGENX SE,ARGX
efgartigimod,NCT06298552,PHASE3,ACTIVE_NOT_RECRUITING,2025-06-30,"Generalized Myasthenia Gravis; gMG; Myasthenia Gravis, Generalized; Myasthenia Gravis",experimental,argenx,ARGENX SE,ARGX
efgartigimod,NCT07217587,PHASE3,RECRUITING,2027-09-28,Myasthenia Gravis,active_comparator,"Janssen Research & Development, LLC",,
eftilagimod alfa,NCT06726265,PHASE3,ACTIVE_NOT_RECRUITING,2027-06,Advanced/Metastatic Non-Small Cell Lung Cancer (NSCLC),experimental,Immutep S.A.S.,IMMUTEP Ltd,IMMP
eftilagimod alpha,NCT05747794,PHASE2;PHASE3,ACTIVE_NOT_RECRUITING,2026-10-31,Breast Carcinoma,experimental,Immutep S.A.S.,IMMUTEP Ltd,IMMP
elranatamab,NCT05020236,PHASE3,RECRUITING,2026-04-27,Multiple Myeloma,experimental,Pfizer,PFIZER INC,PFE
elranatamab,NCT05317416,PHASE3,ACTIVE_NOT_RECRUITING,2027-08-04,Multiple Myeloma,experimental,Pfizer,PFIZER INC,PFE
elranatamab,NCT05317416,PHASE3,ACTIVE_NOT_RECRUITING,2027-08-04,Multiple Myeloma,experimental,Pfizer,PFIZER INC,PFE
elranatamab,NCT05317416,PHASE3,ACTIVE_NOT_RECRUITING,2027-08-04,Multiple Myeloma,experimental,Pfizer,PFIZER INC,PFE
elranatamab,NCT05317416,PHASE3,ACTIVE_NOT_RECRUITING,2027-08-04,Multiple Myeloma,experimental,Pfizer,PFIZER INC,PFE
elranatamab,NCT05623020,PHASE3,RECRUITING,2030-10-18,Multiple Myeloma,experimental,Pfizer,PFIZER INC,PFE
elranatamab,NCT06152575,PHASE3,RECRUITING,2026-08-30,Multiple Myeloma,experimental,Pfizer,PFIZER INC,PFE
elranatamab,NCT06918002,PHASE3,RECRUITING,2036-05,"Multiple Myeloma, Newly Diagnosed",experimental,Intergroupe Francophone du Myelome,,
elranatamab,NCT07647432,PHASE2;PHASE3,NOT_YET_RECRUITING,2029-12-01,Plasmablastic Lymphoma; Hiv; Consolidation,experimental,University of Illinois at Chicago,,
encorafenib,NCT04607421,PHASE3,ACTIVE_NOT_RECRUITING,2025-03-01,Neoplasms,experimental,Pfizer,PFIZER INC,PFE
encorafenib,NCT04657991,PHASE3,ACTIVE_NOT_RECRUITING,2026-01-12,Melanoma,experimental,Pfizer,PFIZER INC,PFE
encorafenib,NCT05615818,PHASE3,RECRUITING,2027-06,Biliary Tract Neoplasms,experimental,UNICANCER,,
enlicitide decanoate,NCT06008756,PHASE3,ACTIVE_NOT_RECRUITING,2029-11-29,Arteriosclerosis; Hypercholesterolaemia,experimental,Merck Sharp & Dohme LLC,"Merck & Co., Inc.",MRK
enlicitide decanoate,NCT06492291,PHASE3,ACTIVE_NOT_RECRUITING,2028-10-13,Hypercholesterolemia,experimental,Merck Sharp & Dohme LLC,"Merck & Co., Inc.",MRK
enlicitide decanoate,NCT07058077,PHASE2;PHASE3,RECRUITING,2033-12-04,Heterozygous Familial Hypercholesterolemia (HeFH),experimental,Merck Sharp & Dohme LLC,"Merck & Co., Inc.",MRK
enlicitide decanoate,NCT07216482,PHASE3,ACTIVE_NOT_RECRUITING,2026-12-02,Hyperlipidemia,experimental,Merck Sharp & Dohme LLC,"Merck & Co., Inc.",MRK
epcoritamab,NCT04628494,PHASE3,ACTIVE_NOT_RECRUITING,2025-10-13,Diffuse Large B-cell Lymphoma,experimental,Genmab,GENMAB A/S,GMAB
epcoritamab,NCT05409066,PHASE3,ACTIVE_NOT_RECRUITING,2029-12,Follicular Lymphoma (FL),experimental,Genmab,GENMAB A/S,GMAB
epcoritamab,NCT05578976,PHASE3,ACTIVE_NOT_RECRUITING,2027-06,Diffuse Large B-Cell Lymphoma,experimental,Genmab,GENMAB A/S,GMAB
epcoritamab,NCT06191744,PHASE3,RECRUITING,2037-11,Follicular Lymphoma (FL),experimental,Genmab,GENMAB A/S,GMAB
epcoritamab,NCT06508658,PHASE3,ACTIVE_NOT_RECRUITING,2028-03,Diffuse Large B-Cell Lymphoma,experimental,Genmab,GENMAB A/S,GMAB
epcoritamab,NCT07226752,PHASE3,ACTIVE_NOT_RECRUITING,2025-10-13,Diffuse Large B-Cell Lymphoma,experimental,Genmab,GENMAB A/S,GMAB
erwinia asparaginase,NCT03020030,PHASE3,ACTIVE_NOT_RECRUITING,2026-11-30,"Acute Lymphoblastic Leukemia, Pediatric",experimental,Dana-Farber Cancer Institute,DANA Inc,DAN
erwinia asparaginase,NCT03117751,PHASE2;PHASE3,ACTIVE_NOT_RECRUITING,2026-09-30,Acute Lymphoblastic Leukemia; Acute Lymphoblastic Lymphoma,experimental,St. Jude Children's Research Hospital,,
fianlimab,NCT05352672,PHASE3,ACTIVE_NOT_RECRUITING,2026-03-12,Melanoma,experimental,Regeneron Pharmaceuticals,"REGENERON PHARMACEUTICALS, INC.",REGN
fianlimab,NCT05608291,PHASE3,ACTIVE_NOT_RECRUITING,2026-07-27,Melanoma,experimental,Regeneron Pharmaceuticals,"REGENERON PHARMACEUTICALS, INC.",REGN
fianlimab,NCT05785767,PHASE2;PHASE3,ACTIVE_NOT_RECRUITING,2027-09-28,Advanced Non-Small Cell Lung Cancer,experimental,Regeneron Pharmaceuticals,"REGENERON PHARMACEUTICALS, INC.",REGN
fianlimab,NCT05800015,PHASE2;PHASE3,ACTIVE_NOT_RECRUITING,2030-01-16,Non-small Cell Lung Cancer,experimental,Regeneron Pharmaceuticals,"REGENERON PHARMACEUTICALS, INC.",REGN
fianlimab,NCT06246916,PHASE3,RECRUITING,2027-03-22,Melanoma,experimental,Regeneron Pharmaceuticals,"REGENERON PHARMACEUTICALS, INC.",REGN
golcadomide,NCT06356129,PHASE3,ACTIVE_NOT_RECRUITING,2027-08-09,Large B-cell Lymphoma,experimental,Celgene,BRISTOL MYERS SQUIBB CO,BMY
golcadomide,NCT06911502,PHASE3,RECRUITING,2028-04-24,Follicular Lymphoma,experimental,Celgene,BRISTOL MYERS SQUIBB CO,BMY
ianalumab,NCT05624749,PHASE3,ACTIVE_NOT_RECRUITING,2027-04-12,Systemic Lupus Erythematosus,experimental,Novartis Pharmaceuticals,NOVARTIS AG,NVS
ianalumab,NCT05639114,PHASE3,ACTIVE_NOT_RECRUITING,2027-03-24,Systemic Lupus Erythematosus,experimental,Novartis Pharmaceuticals,NOVARTIS AG,NVS
ianalumab,NCT06133972,PHASE3,RECRUITING,2030-04-08,Systemic Lupus Erythematosus,experimental,Novartis Pharmaceuticals,NOVARTIS AG,NVS
ianalumab,NCT06711887,PHASE3,RECRUITING,2035-08-01,Lupus Nephritis,experimental,Novartis Pharmaceuticals,NOVARTIS AG,NVS
ibrutinib,NCT01804686,PHASE3,RECRUITING,2026-12-31,Chronic Lymphocytic Leukemia; Small Lymphocytic Lymphoma; Mantle Cell Lymphoma; Follicular Lymphoma; Diffuse Large B-cell Lymphoma; Waldenstrom Macroglobulinemia; Chronic Graft Versus Host Disease,experimental,"Janssen Research & Development, LLC",,
ibrutinib,NCT02477696,PHASE3,ACTIVE_NOT_RECRUITING,2020-09-15,Chronic Lymphocytic Leukemia,active_comparator,Acerta Pharma BV,,
ibrutinib,NCT03462719,PHASE3,ACTIVE_NOT_RECRUITING,2021-02-26,"Leukemia, Lymphocytic, Chronic, B-Cell",experimental,"Janssen Research & Development, LLC",,
ibrutinib,NCT03462719,PHASE3,ACTIVE_NOT_RECRUITING,2021-02-26,"Leukemia, Lymphocytic, Chronic, B-Cell",experimental,"Janssen Research & Development, LLC",,
ibrutinib,NCT04212013,PHASE3,ACTIVE_NOT_RECRUITING,2027-03-18,Marginal Zone Lymphoma,experimental,Memorial Sloan Kettering Cancer Center,,
ibrutinib,NCT04608318,PHASE3,ACTIVE_NOT_RECRUITING,2027-09,Chronic Lymphoid Leukemia,experimental,German CLL Study Group,,
ibrutinib,NCT04662255,PHASE3,ACTIVE_NOT_RECRUITING,2027-01,"Lymphoma, Mantle-Cell",active_comparator,"Loxo Oncology, Inc.",,
ibrutinib,NCT05254743,PHASE3,RECRUITING,2027-10,"Chronic Lymphocytic Leukemia; Leukemia, Lymphocytic; Leukemia, B-cell; Small Lymphocytic Lymphoma",active_comparator,"Loxo Oncology, Inc.",,
ibrutinib,NCT06136559,PHASE3,RECRUITING,2032-09-07,Chronic Lymphocytic Leukemia; Small Lymphocytic Lymphoma,active_comparator,Merck Sharp & Dohme LLC,"Merck & Co., Inc.",MRK
ibrutinib,NCT07377578,PHASE3,RECRUITING,2031-05-30,Mantle Cell Lymphoma,active_comparator,Guangzhou Lupeng Pharmaceutical Company LTD.,,
ifinatamab deruxtecan,NCT06203210,PHASE3,RECRUITING,2027-04-30,Small Cell Lung Cancer,experimental,Daiichi Sankyo,,
ifinatamab deruxtecan,NCT06644781,PHASE3,RECRUITING,2028-06-01,Esophageal Squamous Cell Carcinoma,experimental,Daiichi Sankyo,,
ifinatamab deruxtecan,NCT06925737,PHASE3,RECRUITING,2028-06-26,Prostate Cancer; Prostatic Neoplasms,experimental,Merck Sharp & Dohme LLC,"Merck & Co., Inc.",MRK
inclisiran,NCT03705234,PHASE3,ACTIVE_NOT_RECRUITING,2026-10,Atherosclerotic Cardiovascular Disease,experimental,University of Oxford,,
inclisiran,NCT04765657,PHASE3,ACTIVE_NOT_RECRUITING,2022-06-09,Hypercholesterolemia,experimental,Novartis Pharmaceuticals,NOVARTIS AG,NVS
inclisiran,NCT05030428,PHASE3,ACTIVE_NOT_RECRUITING,2027-10-13,Atherosclerotic Cardiovascular Disease,experimental,Novartis Pharmaceuticals,NOVARTIS AG,NVS
inclisiran,NCT05360446,PHASE3,ACTIVE_NOT_RECRUITING,2026-10-26,Coronary Artery Disease,experimental,Novartis Pharmaceuticals,NOVARTIS AG,NVS
inclisiran,NCT05682378,PHASE3,RECRUITING,2032-03-25,Heterozygous or Homozygous Familial Hypercholesterolemia,experimental,Novartis Pharmaceuticals,NOVARTIS AG,NVS
inclisiran,NCT06597006,PHASE3,RECRUITING,2028-03-23,Familial Hypercholesterolemia - Homozygous,experimental,Novartis Pharmaceuticals,NOVARTIS AG,NVS
inclisiran,NCT06597019,PHASE3,RECRUITING,2028-03-21,Familial Hypercholesterolemia - Heterozygous,experimental,Novartis Pharmaceuticals,NOVARTIS AG,NVS
inclisiran,NCT06813911,PHASE3,RECRUITING,2028-02-03,Atherosclerotic Cardiovascular Disease (ASCVD),active_comparator,Novartis Pharmaceuticals,NOVARTIS AG,NVS
inclisiran,NCT07102628,PHASE3,RECRUITING,2027-02-11,Acute Coronary Syndrome,experimental,Novartis Pharmaceuticals,NOVARTIS AG,NVS
iptacopan,NCT06517758,PHASE3,RECRUITING,2027-04-30,Generalized Myasthenia Gravis,experimental,Novartis Pharmaceuticals,NOVARTIS AG,NVS
ivonescimab,NCT05184712,PHASE3,ACTIVE_NOT_RECRUITING,2023-03-10,Non-Squamous Non-small Cell Lung Cancer,experimental,Akeso,,
ivonescimab,NCT05499390,PHASE3,ACTIVE_NOT_RECRUITING,2024-01-29,Advanced Non-small-cell Lung Cancer,experimental,Akeso,,
ivonescimab,NCT05899608,PHASE3,RECRUITING,2028-12-31,Non-Small Cell Lung Cancer,experimental,Summit Therapeutics,Summit Therapeutics Inc.,SMMT
ivonescimab,NCT06396065,PHASE3,ACTIVE_NOT_RECRUITING,2025-04-12,Non-Squamous Non-small Cell Lung Cancer,experimental,Summit Therapeutics,Summit Therapeutics Inc.,SMMT
ivonescimab,NCT06767514,PHASE3,RECRUITING,2028-04,Non-Small Cell Lung Cancer,experimental,Summit Therapeutics,Summit Therapeutics Inc.,SMMT
ivonescimab,NCT06767527,PHASE3,RECRUITING,2026-12,Triple-Negative Breast Cancer (TNBC),experimental,Akeso,,
ivonescimab,NCT06951503,PHASE3,RECRUITING,2027-01-13,Colorectal Adenocarcinoma,experimental,Akeso,,
ivonescimab,NCT07010263,PHASE3,RECRUITING,2028-12-31,Small Cell Lung Cancer,experimental,Akeso,,
ivonescimab,NCT07228832,PHASE3,RECRUITING,2028-05-31,Metastatic Colorectal Cancer (CRC),experimental,Summit Therapeutics,Summit Therapeutics Inc.,SMMT
laroprovstat,NCT06834932,PHASE2;PHASE3,ACTIVE_NOT_RECRUITING,2027-02-22,Dyslipidaemia,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
laroprovstat,NCT07000123,PHASE3,ACTIVE_NOT_RECRUITING,2027-01-11,Cardiovascular Disease,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
laroprovstat,NCT07000136,PHASE3,ACTIVE_NOT_RECRUITING,2027-01-04,Heterozygous Familial Hypercholesterolaemia,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
laroprovstat,NCT07000357,PHASE3,RECRUITING,2029-10-26,Cardiovascular Disease,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
laroprovstat,NCT07619131,PHASE3,NOT_YET_RECRUITING,2027-07-30,Hypercholesterolaemia,active_comparator,AstraZeneca,ASTRAZENECA PLC,AZN
