asset,nct_id,phase,status,primary_completion,conditions,arm_role,sponsor_raw,company_name,ticker
minoxidil,NCT05888922,PHASE3,RECRUITING,2026-10,Androgenetic Alopecia; Female Pattern Baldness,active_comparator,"Industrial Farmacéutica Cantabria, S.A.",,
minoxidil,NCT06501924,PHASE3,NOT_YET_RECRUITING,2025-10-17,Androgenetic Alopecia; Female Pattern Baldness; Male Pattern Baldness,active_comparator,"Applied Biology, Inc.",,
minoxidil,NCT07080931,PHASE3,RECRUITING,2027-12,Androgenetic Alopecia,experimental,"Zhejiang Sunshine Mandi Pharmaceutical Co.,Ltd.",Sunshine Biopharma Inc.,SBFM
minoxidil,NCT07435012,PHASE3,RECRUITING,2027-12,Androgenic Alopecia,active_comparator,Triple Hair Inc,,
minoxidil,NCT07529977,PHASE3,NOT_YET_RECRUITING,2028-10-30,Androgenetic Alopecia; Androgenetic Alopecia (AGA),experimental,Eurofarma Laboratorios S.A.,,
monalizumab,NCT04590963,PHASE3,ACTIVE_NOT_RECRUITING,2022-05-11,Squamous Cell Carcinoma of the Head and Neck,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
monalizumab,NCT05221840,PHASE3,ACTIVE_NOT_RECRUITING,2026-09-30,Non-Small Cell Lung Cancer,experimental,AstraZeneca,ASTRAZENECA PLC,AZN
nelarabine,NCT03020030,PHASE3,ACTIVE_NOT_RECRUITING,2026-11-30,"Acute Lymphoblastic Leukemia, Pediatric",other,Dana-Farber Cancer Institute,DANA Inc,DAN
nelarabine,NCT03117751,PHASE2;PHASE3,ACTIVE_NOT_RECRUITING,2026-09-30,Acute Lymphoblastic Leukemia; Acute Lymphoblastic Lymphoma,experimental,St. Jude Children's Research Hospital,,
nemtabrutinib,NCT05624554,PHASE3,ACTIVE_NOT_RECRUITING,2027-05-19,Chronic Lymphocytic Leukemia; Small Lymphocytic Lymphoma,experimental,Merck Sharp & Dohme LLC,"Merck & Co., Inc.",MRK
nemtabrutinib,NCT05947851,PHASE3,RECRUITING,2032-06-01,"Leukemia, Lymphocytic, Chronic, B-Cell; Leukemia, Chronic Lymphocytic; Small-Cell Lymphoma; Lymphoma, Small Lymphocytic; CLL; SLL",experimental,Merck Sharp & Dohme LLC,"Merck & Co., Inc.",MRK
nemtabrutinib,NCT06136559,PHASE3,RECRUITING,2032-09-07,Chronic Lymphocytic Leukemia; Small Lymphocytic Lymphoma,experimental,Merck Sharp & Dohme LLC,"Merck & Co., Inc.",MRK
niraparib,NCT02655016,PHASE3,ACTIVE_NOT_RECRUITING,2019-05-17,Ovarian Neoplasms,experimental,"Tesaro, Inc.",,
niraparib,NCT03602859,PHASE3,ACTIVE_NOT_RECRUITING,2024-10-31,"Ovarian Neoplasms; Ovarian, Fallopian Tube and Primary Peritoneal Carcinoma",experimental,"Tesaro, Inc.",,
niraparib,NCT03651206,PHASE2;PHASE3,RECRUITING,2027-06,Ovarian Carcinosarcoma; Endometrial Carcinosarcoma,experimental,ARCAGY/ GINECO GROUP,,
